source,to,score
resp1028,resp3567,3.0
resp1028,resp4598,5.0
resp1028,resp3449,5.0
resp1029,resp2983,5.0
resp1029,resp608,4.0
resp1029,resp3365,5.0
resp1029,resp4774,5.0
resp1033,resp1429,5.0
resp1035,resp6074,5.0
resp1035,resp4020,5.0
resp1035,resp6257,5.0
resp1038,resp1545,
resp1038,resp1210,
resp1039,resp545,5.0
resp1042,resp5500,5.0
resp1042,resp2681,5.0
resp1042,resp2343,3.0
resp1043,resp1038,5.0
resp1043,resp3752,5.0
resp1043,resp1841,5.0
resp1043,resp3194,5.0
resp1048,resp2480,5.0
resp1048,resp1071,3.0
resp1048,resp1376,5.0
resp1048,resp1723,5.0
resp1049,resp1282,5.0
resp1049,resp4804,5.0
resp1049,resp6216,5.0
resp1049,resp232,5.0
resp1053,resp2339,5.0
resp1053,resp4145,5.0
resp1053,resp5974,5.0
resp1053,resp4771,5.0
resp1054,resp213,4.0
resp1054,resp5839,5.0
resp1056,resp3545,5.0
resp1056,resp6081,5.0
resp1056,resp2068,5.0
resp1056,resp6064,5.0
resp1060,resp3,3.0
resp1060,resp1210,5.0
resp1060,resp6009,5.0
resp1060,resp6113,4.0
resp1062,resp2954,5.0
resp1066,resp188,4.0
resp1067,resp5944,5.0
resp1067,resp4169,5.0
resp1069,resp4372,5.0
resp1069,resp6233,5.0
resp1070,resp3328,5.0
resp1070,resp3627,5.0
resp1071,resp1376,4.0
resp1071,resp1545,4.0
resp1073,resp3448,5.0
resp1073,resp2461,5.0
resp1073,resp689,5.0
resp1073,resp6009,5.0
resp1074,resp4169,2.0
resp1078,resp1908,5.0
resp1078,resp1420,2.0
resp1078,resp4377,5.0
resp1078,resp894,5.0
resp1083,resp1210,5.0
resp1084,resp469,5.0
resp1085,resp3448,5.0
resp1091,resp5047,4.0
resp1091,resp3434,4.0
resp1091,resp27,4.0
resp1094,resp608,5.0
resp1094,resp3628,5.0
resp1095,resp3581,5.0
resp1095,resp1449,5.0
resp1095,resp2991,5.0
resp1095,resp6255,5.0
resp1096,resp3015,5.0
resp1096,resp3989,5.0
resp1097,resp608,4.0
resp1097,resp4390,4.0
resp1099,resp6078,5.0
resp1101,resp4935,4.0
resp1101,resp2300,4.0
resp1101,resp715,4.0
resp1101,resp5390,4.0
resp1104,resp5153,4.0
resp1105,resp5351,3.0
resp1105,resp4926,5.0
resp1105,resp1130,5.0
resp1111,resp4914,3.0
resp1111,resp85,3.0
resp1111,resp3215,5.0
resp1116,resp4771,5.0
resp1116,resp5786,5.0
resp1116,resp2339,5.0
resp1116,resp494,5.0
resp1119,resp817,5.0
resp1119,resp1534,5.0
resp1120,resp3356,4.0
resp1121,resp2072,5.0
resp1121,resp1185,5.0
resp1121,resp4476,3.0
resp1121,resp2718,4.0
resp1123,resp5267,5.0
resp1123,resp5617,5.0
resp1123,resp4571,5.0
resp1125,resp4417,5.0
resp1127,resp35,5.0
resp1128,resp235,4.0
resp1129,resp3892,5.0
resp1129,resp1311,5.0
resp1130,resp5351,3.0
resp1133,resp1170,5.0
resp1133,resp1191,5.0
resp1133,resp1210,5.0
resp1133,resp1138,5.0
resp1135,resp4390,5.0
resp1135,resp4543,5.0
resp1135,resp6274,5.0
resp1136,resp1170,5.0
resp1138,resp4237,3.0
resp1139,resp3711,5.0
resp1142,resp608,5.0
resp1142,resp4774,5.0
resp1142,resp2983,5.0
resp1143,resp2300,4.0
resp1143,resp488,4.0
resp1146,resp3832,5.0
resp1146,resp5123,5.0
resp1146,resp6108,5.0
resp1146,resp997,5.0
resp1148,resp1204,5.0
resp1151,resp1170,5.0
resp1151,resp5822,5.0
resp1151,resp1156,5.0
resp1151,resp1814,5.0
resp1152,resp494,3.0
resp1152,resp51,5.0
resp1152,resp5810,4.0
resp1152,resp4724,3.0
resp1153,resp1210,5.0
resp1153,resp6220,4.0
resp1159,resp1208,5.0
resp1159,resp1170,1.0
resp1160,resp1138,3.0
resp1161,resp3447,5.0
resp1161,resp6113,4.0
resp1161,resp1210,4.0
resp1162,resp5731,3.0
resp1162,resp719,3.0
resp1162,resp1016,3.0
resp1163,resp2320,
resp1163,resp2321,
resp1163,resp4452,
resp1166,resp3390,5.0
resp1167,resp1204,4.0
resp1167,resp3480,4.0
resp1169,resp4237,5.0
resp1172,resp1170,5.0
resp1172,resp1208,5.0
resp1173,resp1188,5.0
resp1173,resp5535,5.0
resp1174,resp3448,4.0
resp1174,resp1289,4.0
resp1181,resp3,4.0
resp1183,resp1188,5.0
resp1185,resp2249,5.0
resp1185,resp2072,3.0
resp1185,resp6009,4.0
resp1185,resp2055,4.0
resp1187,resp4237,
resp1187,resp2290,
resp1187,resp1147,
resp1187,resp1210,
resp1188,resp1701,5.0
resp1188,resp2397,4.0
resp1191,resp1170,5.0
resp1191,resp4237,5.0
resp1191,resp4571,5.0
resp1191,resp1179,5.0
resp1192,resp5618,5.0
resp1194,resp3144,
resp1198,resp3832,5.0
resp1198,resp5123,5.0
resp1199,resp1187,2.0
resp1202,resp1187,
resp1204,resp1147,5.0
resp1206,resp5884,5.0
resp1206,resp1882,5.0
resp1206,resp4571,5.0
resp1208,resp2435,5.0
resp1208,resp2161,5.0
resp1208,resp1170,4.0
resp1208,resp2543,4.0
resp1209,resp4574,5.0
resp1209,resp2950,5.0
resp1209,resp1785,5.0
resp1211,resp1153,5.0
resp1212,resp5488,5.0
resp1212,resp1371,5.0
resp1212,resp1376,5.0
resp1213,resp1477,4.0
resp1214,resp2983,5.0
resp1214,resp2824,5.0
resp1217,resp5970,4.0
resp1217,resp2339,4.0
resp1221,resp2532,5.0
resp1221,resp2072,5.0
resp1221,resp4202,5.0
resp1221,resp6074,5.0
resp1224,resp1161,5.0
resp1224,resp1772,5.0
resp1226,resp828,5.0
resp1226,resp3606,5.0
resp1226,resp2558,4.0
resp1228,resp793,5.0
resp1229,resp2373,5.0
resp1232,resp5376,3.0
resp1232,resp5500,5.0
resp1232,resp371,5.0
resp1234,resp2918,
resp1235,resp1183,5.0
resp1235,resp1188,5.0
resp1239,resp3520,5.0
resp1240,resp231,
resp1240,resp1458,
resp1240,resp1472,
resp1240,resp3280,
resp1241,resp2221,3.0
resp1241,resp5397,4.0
resp1241,resp6124,5.0
resp1241,resp870,2.0
resp1242,resp172,3.0
resp1242,resp4381,3.0
resp1242,resp1541,4.0
resp1245,resp2991,5.0
resp1245,resp1717,5.0
resp1245,resp6255,5.0
resp1245,resp2950,5.0
resp1253,resp1121,5.0
resp1253,resp3595,5.0
resp1253,resp738,5.0
resp1253,resp4778,5.0
resp1255,resp4483,
resp1259,resp4761,5.0
resp1262,resp4657,4.0
resp1265,resp756,1.0
resp1268,resp5788,5.0
resp1269,resp4169,
resp1269,resp881,
resp1271,resp1306,4.0
resp1271,resp4789,4.0
resp1271,resp2831,4.0
resp1271,resp1121,4.0
resp1275,resp2567,5.0
resp1279,resp5032,4.0
resp1279,resp80,4.0
resp1280,resp1273,2.0
resp1280,resp3904,2.0
resp1281,resp1376,4.0
resp1282,resp1472,5.0
resp1282,resp232,4.0
resp1282,resp5199,4.0
resp1284,resp2249,2.0
resp1284,resp2055,2.0
resp1284,resp5343,4.0
resp1288,resp1960,3.0
resp1288,resp2221,4.0
resp1288,resp4159,5.0
resp1288,resp2223,2.0
resp1289,resp2891,4.0
resp1289,resp1060,4.0
resp1290,resp2049,5.0
resp1290,resp844,5.0
resp1292,resp4778,4.0
resp1294,resp297,5.0
resp1294,resp3313,5.0
resp1294,resp3586,5.0
resp1294,resp790,5.0
resp1296,resp3665,4.0
resp1297,resp6174,
resp1299,resp2915,5.0
resp1299,resp5262,5.0
resp1299,resp5077,5.0
resp1299,resp3923,5.0
resp1305,resp1311,5.0
resp1305,resp5980,5.0
resp1305,resp608,5.0
resp1306,resp5575,4.0
resp1306,resp3524,5.0
resp1306,resp4789,5.0
resp1306,resp4444,4.0
resp1307,resp2983,5.0
resp1307,resp3989,5.0
resp1307,resp4390,3.0
resp1307,resp3311,5.0
resp1310,resp3301,4.0
resp1311,resp595,4.0
resp1311,resp4774,4.0
resp1311,resp4326,4.0
resp1311,resp608,4.0
resp1314,resp143,4.0
resp1317,resp3608,5.0
resp1317,resp549,5.0
resp1317,resp534,5.0
resp1317,resp1210,5.0
resp1319,resp5727,5.0
resp1324,resp35,5.0
resp1324,resp4549,4.0
resp1324,resp6244,5.0
resp1325,resp2373,5.0
resp1325,resp4815,5.0
resp1326,resp5376,5.0
resp1329,resp4261,5.0
resp1330,resp2328,3.0
resp1330,resp2950,3.0
resp1330,resp1449,4.0
resp1330,resp3581,4.0
resp1332,resp947,5.0
resp1334,resp2072,4.0
resp1334,resp1121,4.0
resp1339,resp3752,4.0
resp1339,resp1043,2.0
resp1340,resp6257,5.0
resp1340,resp1121,5.0
resp1340,resp1185,5.0
resp1340,resp534,5.0
resp1341,resp5047,5.0
resp1347,resp2748,4.0
resp1347,resp1804,4.0
resp1347,resp1121,4.0
resp1347,resp2831,4.0
resp1348,resp235,5.0
resp1348,resp5835,5.0
resp1349,resp2824,5.0
resp1349,resp3365,5.0
resp1353,resp1224,5.0
resp1353,resp1161,4.0
resp1353,resp700,4.0
resp1353,resp925,2.0
resp1354,resp3198,4.0
resp1354,resp3797,4.0
resp1356,resp5873,3.0
resp1356,resp3006,4.0
resp1356,resp5153,4.0
resp1357,resp3849,5.0
resp1357,resp4544,5.0
resp1358,resp558,5.0
resp1358,resp4571,5.0
resp1358,resp1318,5.0
resp1358,resp4169,5.0
resp1359,resp3015,5.0
resp1371,resp2804,4.0
resp1373,resp4774,4.0
resp1373,resp595,4.0
resp1373,resp5537,4.0
resp1373,resp2989,2.0
resp1374,resp4308,5.0
resp1374,resp4614,5.0
resp1376,resp2824,5.0
resp1377,resp91,5.0
resp1377,resp6174,5.0
resp1380,resp4169,5.0
resp1380,resp1316,5.0
resp1380,resp3825,5.0
resp1380,resp2983,4.0
resp1382,resp930,5.0
resp1382,resp5221,5.0
resp1382,resp3238,5.0
resp1386,resp413,4.0
resp1386,resp1376,4.0
resp1386,resp96,4.0
resp1387,resp4571,5.0
resp1387,resp5617,5.0
resp1387,resp5884,5.0
resp1387,resp3961,5.0
resp1389,resp1477,5.0
resp1399,resp5130,4.0
resp1400,resp2039,4.0
resp1403,resp4390,5.0
resp1403,resp608,5.0
resp1403,resp4349,5.0
resp1404,resp2804,4.0
resp1405,resp5598,5.0
resp1405,resp3920,5.0
resp1405,resp3903,4.0
resp1405,resp5437,4.0
resp1413,resp4923,5.0
resp1413,resp169,5.0
resp1413,resp2654,5.0
resp1413,resp4202,5.0
resp1416,resp1071,4.0
resp1416,resp1376,4.0
resp1418,resp3545,5.0
resp1418,resp6081,5.0
resp1418,resp2831,5.0
resp1418,resp1416,5.0
resp1419,resp1449,5.0
resp1419,resp2991,5.0
resp1419,resp2950,5.0
resp1419,resp6255,5.0
resp1420,resp4377,5.0
resp1420,resp5575,4.0
resp1420,resp3678,4.0
resp1420,resp4802,4.0
resp1421,resp2602,4.0
resp1423,resp5074,5.0
resp1423,resp3562,5.0
resp1423,resp980,5.0
resp1423,resp1559,5.0
resp1425,resp1982,5.0
resp1429,resp85,5.0
resp1429,resp301,4.0
resp1435,resp4812,4.0
resp1435,resp4089,5.0
resp1435,resp2964,3.0
resp1436,resp3193,5.0
resp1436,resp3268,5.0
resp1438,resp2003,5.0
resp1439,resp843,5.0
resp1441,resp3225,4.0
resp1441,resp5375,4.0
resp1443,resp1332,
resp1444,resp3448,5.0
resp1446,resp553,
resp1447,resp2903,5.0
resp1447,resp3221,5.0
resp1447,resp4619,2.0
resp1447,resp2659,3.0
resp1449,resp3620,5.0
resp1449,resp2950,5.0
resp1450,resp5965,5.0
resp1451,resp5130,2.0
resp1453,resp4269,5.0
resp1453,resp5153,5.0
resp1456,resp6098,4.0
resp1457,resp1879,4.0
resp1458,resp4823,5.0
resp1462,resp1814,5.0
resp1462,resp546,5.0
resp1462,resp4571,5.0
resp1463,resp6009,5.0
resp1463,resp689,5.0
resp1464,resp1038,
resp1464,resp874,
resp1464,resp3714,
resp1472,resp1545,3.0
resp1472,resp2249,5.0
resp1472,resp1210,5.0
resp1473,resp5486,5.0
resp1473,resp608,3.0
resp1474,resp1376,3.0
resp1475,resp4326,4.0
resp1475,resp4774,4.0
resp1476,resp1376,4.0
resp1476,resp96,4.0
resp1476,resp1071,3.0
resp1476,resp5488,4.0
resp1477,resp1161,3.0
resp1477,resp254,4.0
resp1477,resp1224,3.0
resp1477,resp2150,4.0
resp1481,resp3221,5.0
resp1481,resp2903,5.0
resp1481,resp1447,5.0
resp1483,resp169,5.0
resp1483,resp2072,4.0
resp1483,resp4875,3.0
resp1483,resp2654,5.0
resp1487,resp3545,5.0
resp1487,resp6081,5.0
resp1492,resp4935,5.0
resp1492,resp5209,5.0
resp1494,resp621,5.0
resp1496,resp3608,5.0
resp1500,resp2954,4.0
resp1504,resp2475,5.0
resp1506,resp5941,5.0
resp1506,resp5497,4.0
resp1506,resp2339,4.0
resp1506,resp494,5.0
resp1509,resp2292,2.0
resp1511,resp993,5.0
resp1511,resp3545,5.0
resp1512,resp5657,5.0
resp1512,resp4638,5.0
resp1514,resp1121,4.0
resp1514,resp534,4.0
resp1514,resp3608,4.0
resp1514,resp1185,4.0
resp1517,resp415,5.0
resp1517,resp1716,4.0
resp1518,resp881,5.0
resp1519,resp4266,
resp1520,resp4079,5.0
resp1520,resp4166,5.0
resp1520,resp4955,5.0
resp1520,resp608,5.0
resp1521,resp3238,4.0
resp1521,resp5221,4.0
resp1522,resp3756,5.0
resp1522,resp3221,5.0
resp1524,resp2837,4.0
resp1526,resp608,4.0
resp1526,resp3989,5.0
resp1526,resp4390,5.0
resp1529,resp101,3.0
resp1529,resp6002,5.0
resp1529,resp4153,4.0
resp1529,resp6137,5.0
resp1530,resp3015,4.0
resp1531,resp5584,5.0
resp1532,resp595,5.0
resp1532,resp4774,5.0
resp1532,resp3989,5.0
resp1534,resp2461,5.0
resp1534,resp4571,3.0
resp1535,resp3448,5.0
resp1536,resp2983,5.0
resp1536,resp5410,5.0
resp1537,resp5193,5.0
resp1538,resp172,5.0
resp1538,resp4381,5.0
resp1538,resp1541,5.0
resp1538,resp4181,5.0
resp1539,resp411,4.0
resp1541,resp3198,4.0
resp1542,resp4571,5.0
resp1542,resp1882,5.0
resp1545,resp6009,5.0
resp1545,resp2249,5.0
resp1545,resp3458,5.0
resp1545,resp2055,5.0
resp1552,resp1214,4.0
resp1553,resp5838,5.0
resp1553,resp965,5.0
resp1553,resp4765,4.0
resp1553,resp1743,4.0
resp1554,resp11,5.0
resp1554,resp3823,5.0
resp1555,resp843,5.0
resp1558,resp4169,5.0
resp1558,resp5617,5.0
resp1558,resp4306,5.0
resp1558,resp5267,5.0
resp1560,resp4977,4.0
resp1560,resp5309,5.0
resp1561,resp5998,5.0
resp1561,resp1318,2.0
resp1561,resp2715,3.0
resp1561,resp3952,5.0
resp1563,resp5897,5.0
resp1563,resp947,5.0
resp1563,resp3961,5.0
resp1563,resp1452,5.0
resp1564,resp3061,5.0
resp1567,resp558,5.0
resp1567,resp2983,5.0
resp1567,resp4169,5.0
resp1567,resp4571,5.0
resp1568,resp4313,
resp1569,resp4426,5.0
resp1570,resp4049,5.0
resp1570,resp2477,5.0
resp1570,resp4649,5.0
resp1570,resp2049,5.0
resp1571,resp4574,5.0
resp1571,resp1606,5.0
resp1571,resp3581,5.0
resp1571,resp1449,5.0
resp1574,resp2558,5.0
resp1578,resp784,4.0
resp1578,resp5208,5.0
resp1578,resp1012,1.0
resp1580,resp4774,2.0
resp1583,resp2330,5.0
resp1583,resp1841,5.0
resp1583,resp5285,5.0
resp1583,resp1038,5.0
resp1587,resp817,4.0
resp1587,resp2373,5.0
resp1587,resp2461,5.0
resp1587,resp5908,5.0
resp1588,resp4374,5.0
resp1588,resp3280,5.0
resp1588,resp1472,5.0
resp1588,resp4823,5.0
resp1589,resp1512,5.0
resp1589,resp862,5.0
resp1590,resp4013,5.0
resp1591,resp2003,2.0
resp1598,resp608,2.0
resp1603,resp2567,5.0
resp1603,resp562,5.0
resp1604,resp5873,5.0
resp1604,resp214,5.0
resp1604,resp3006,5.0
resp1604,resp1104,5.0
resp1605,resp2373,5.0
resp1606,resp3458,3.0
resp1606,resp5586,4.0
resp1606,resp1210,3.0
resp1607,resp2954,5.0
resp1607,resp1606,5.0
resp1607,resp3402,5.0
resp1607,resp4017,4.0
resp1612,resp3193,4.0
resp1612,resp2503,4.0
resp1613,resp1701,4.0
resp1616,resp4202,3.0
resp1616,resp5839,3.0
resp1616,resp2584,4.0
resp1617,resp2373,5.0
resp1620,resp51,4.0
resp1620,resp4452,4.0
resp1621,resp2373,3.0
resp1621,resp4815,4.0
resp1625,resp784,5.0
resp1625,resp4223,5.0
resp1625,resp5416,5.0
resp1625,resp5742,5.0
resp1626,resp608,3.0
resp1626,resp4390,4.0
resp1628,resp2950,5.0
resp1628,resp4369,5.0
resp1628,resp1785,5.0
resp1628,resp4559,5.0
resp1630,resp2121,5.0
resp1634,resp4325,
resp1636,resp997,5.0
resp1637,resp4261,5.0
resp1638,resp6113,3.0
resp1638,resp2559,4.0
resp1638,resp6009,3.0
resp1638,resp1060,4.0
resp1639,resp2834,2.0
resp1640,resp2048,3.0
resp1640,resp2831,3.0
resp1640,resp1908,3.0
resp1640,resp1121,5.0
resp1641,resp573,5.0
resp1641,resp1210,5.0
resp1642,resp1060,4.0
resp1644,resp1214,5.0
resp1644,resp5488,5.0
resp1644,resp1786,5.0
resp1644,resp2235,5.0
resp1645,resp5285,5.0
resp1645,resp3259,5.0
resp1645,resp1038,5.0
resp1651,resp3259,5.0
resp1651,resp6108,5.0
resp1652,resp5822,4.0
resp1652,resp5810,5.0
resp1652,resp51,5.0
resp1653,resp4374,5.0
resp1653,resp3280,4.0
resp1653,resp1410,5.0
resp1653,resp5936,5.0
resp1657,resp2221,5.0
resp1658,resp5953,5.0
resp1659,resp2865,4.0
resp1661,resp1371,5.0
resp1661,resp1212,4.0
resp1662,resp2715,5.0
resp1662,resp1561,5.0
resp1662,resp5998,3.0
resp1662,resp3952,3.0
resp1663,resp5410,4.0
resp1663,resp756,4.0
resp1663,resp2983,4.0
resp1663,resp573,4.0
resp1667,resp415,5.0
resp1667,resp1379,3.0
resp1667,resp1716,5.0
resp1667,resp5726,4.0
resp1669,resp4759,5.0
resp1669,resp3356,4.0
resp1674,resp558,5.0
resp1674,resp5429,5.0
resp1674,resp5267,4.0
resp1674,resp2039,4.0
resp1675,resp195,5.0
resp1675,resp2461,5.0
resp1675,resp689,5.0
resp1676,resp6159,4.0
resp1676,resp410,4.0
resp1678,resp622,5.0
resp1678,resp3148,5.0
resp1680,resp2339,5.0
resp1681,resp2143,5.0
resp1681,resp3920,5.0
resp1681,resp2983,3.0
resp1681,resp1376,4.0
resp1684,resp235,5.0
resp1685,resp5,4.0
resp1685,resp494,4.0
resp1686,resp3834,4.0
resp1686,resp5965,4.0
resp1687,resp534,4.0
resp1687,resp3,3.0
resp1691,resp608,4.0
resp1691,resp4484,4.0
resp1691,resp4390,4.0
resp1693,resp5617,5.0
resp1693,resp2039,5.0
resp1693,resp5267,5.0
resp1693,resp2983,5.0
resp1694,resp2039,
resp1695,resp4914,4.0
resp1695,resp2178,5.0
resp1695,resp4496,5.0
resp1695,resp2594,3.0
resp1697,resp1332,5.0
resp1701,resp2249,3.0
resp1701,resp1210,2.0
resp1701,resp478,2.0
resp1701,resp1641,4.0
resp1704,resp6257,5.0
resp1704,resp534,5.0
resp1704,resp1121,5.0
resp1704,resp1185,5.0
resp1709,resp1376,1.0
resp1711,resp545,4.0
resp1711,resp4452,4.0
resp1716,resp415,5.0
resp1716,resp1379,5.0
resp1716,resp5726,3.0
resp1716,resp4056,3.0
resp1717,resp4574,4.0
resp1717,resp1785,4.0
resp1717,resp2950,4.0
resp1718,resp3180,5.0
resp1718,resp3359,5.0
resp1719,resp4771,5.0
resp1719,resp5786,5.0
resp1719,resp2339,5.0
resp1719,resp494,5.0
resp1720,resp1559,5.0
resp1720,resp4442,5.0
resp1720,resp4754,5.0
resp1723,resp2146,4.0
resp1723,resp4426,4.0
resp1723,resp1161,4.0
resp1723,resp5323,4.0
resp1724,resp4347,4.0
resp1724,resp3940,4.0
resp1725,resp2915,5.0
resp1725,resp204,5.0
resp1729,resp2249,5.0
resp1729,resp3447,5.0
resp1729,resp6009,5.0
resp1730,resp410,4.0
resp1731,resp4033,5.0
resp1736,resp1559,4.0
resp1736,resp4794,4.0
resp1739,resp965,5.0
resp1739,resp5838,5.0
resp1739,resp3143,5.0
resp1739,resp1553,5.0
resp1740,resp1214,4.0
resp1740,resp1376,4.0
resp1740,resp1071,4.0
resp1741,resp2991,3.0
resp1741,resp6255,3.0
resp1741,resp1209,3.0
resp1741,resp1449,5.0
resp1743,resp494,4.0
resp1743,resp2339,4.0
resp1743,resp5970,5.0
resp1745,resp6009,5.0
resp1745,resp2461,5.0
resp1745,resp5846,5.0
resp1759,resp3356,
resp1759,resp3494,5.0
resp1759,resp4759,5.0
resp1759,resp5427,
resp1761,resp4756,5.0
resp1761,resp3608,5.0
resp1762,resp1376,5.0
resp1762,resp2620,5.0
resp1763,resp4756,3.0
resp1763,resp3608,4.0
resp1764,resp903,5.0
resp1764,resp6136,5.0
resp1764,resp640,5.0
resp1768,resp2915,4.0
resp1770,resp4774,4.0
resp1770,resp4326,5.0
resp1770,resp608,4.0
resp1770,resp2300,5.0
resp1771,resp415,5.0
resp1771,resp1379,5.0
resp1771,resp4809,3.0
resp1771,resp1772,3.0
resp1772,resp4654,4.0
resp1772,resp3,3.0
resp1772,resp3447,5.0
resp1772,resp3365,4.0
resp1773,resp2394,5.0
resp1776,resp4677,2.0
resp1778,resp11,5.0
resp1778,resp4088,5.0
resp1779,resp4169,
resp1780,resp1358,5.0
resp1781,resp2283,5.0
resp1782,resp4694,4.0
resp1783,resp1681,5.0
resp1783,resp2865,5.0
resp1783,resp3493,3.0
resp1783,resp5545,5.0
resp1785,resp4574,1.0
resp1785,resp2950,
resp1786,resp5488,5.0
resp1786,resp2143,5.0
resp1788,resp4774,5.0
resp1789,resp6033,3.0
resp1790,resp3301,5.0
resp1790,resp4935,5.0
resp1790,resp288,5.0
resp1790,resp5371,5.0
resp1796,resp4571,5.0
resp1796,resp5617,5.0
resp1796,resp2039,5.0
resp1797,resp4101,5.0
resp1797,resp5408,5.0
resp1797,resp1332,5.0
resp1797,resp1582,5.0
resp1798,resp6123,4.0
resp1802,resp1701,5.0
resp1802,resp5965,5.0
resp1804,resp2831,4.0
resp1808,resp3301,5.0
resp1808,resp3415,5.0
resp1810,resp4101,5.0
resp1810,resp1358,5.0
resp1811,resp2804,5.0
resp1811,resp5545,5.0
resp1811,resp96,5.0
resp1811,resp6078,4.0
resp1814,resp4571,5.0
resp1816,resp6196,5.0
resp1816,resp607,5.0
resp1816,resp5545,5.0
resp1816,resp5936,5.0
resp1818,resp1944,4.0
resp1821,resp5987,3.0
resp1821,resp1446,3.0
resp1821,resp757,4.0
resp1821,resp286,4.0
resp1828,resp2330,3.0
resp1829,resp4643,5.0
resp1829,resp1606,5.0
resp1830,resp2954,5.0
resp1831,resp5123,3.0
resp1841,resp1038,5.0
resp1842,resp2373,5.0
resp1844,resp5032,5.0
resp1845,resp4417,4.0
resp1845,resp930,4.0
resp1846,resp5727,5.0
resp1846,resp4356,5.0
resp1848,resp608,5.0
resp1848,resp4774,5.0
resp1848,resp4326,5.0
resp1848,resp595,5.0
resp1849,resp3871,5.0
resp1850,resp35,5.0
resp1850,resp842,5.0
resp1851,resp4166,5.0
resp1851,resp4414,5.0
resp1852,resp312,5.0
resp1852,resp1785,5.0
resp1852,resp2950,4.0
resp1852,resp3581,4.0
resp1854,resp5032,5.0
resp1854,resp2036,5.0
resp1854,resp3159,4.0
resp1854,resp3520,4.0
resp1855,resp2903,4.0
resp1858,resp5486,5.0
resp1860,resp944,4.0
resp1861,resp5850,5.0
resp1864,resp4875,1.0
resp1865,resp4643,4.0
resp1866,resp2039,1.0
resp1871,resp5584,5.0
resp1872,resp947,5.0
resp1872,resp1332,5.0
resp1880,resp132,5.0
resp1880,resp825,5.0
resp1882,resp4571,5.0
resp1882,resp2475,5.0
resp1882,resp6171,4.0
resp1882,resp5617,5.0
resp1888,resp28,5.0
resp1888,resp6086,5.0
resp1888,resp4991,5.0
resp1889,resp232,5.0
resp1889,resp2792,5.0
resp1889,resp1472,5.0
resp1889,resp149,5.0
resp1890,resp930,2.0
resp1890,resp5221,2.0
resp1890,resp4528,2.0
resp1890,resp6185,2.0
resp1892,resp1210,5.0
resp1892,resp573,5.0
resp1892,resp2072,5.0
resp1892,resp2285,5.0
resp1893,resp251,3.0
resp1893,resp4528,3.0
resp1893,resp1890,4.0
resp1893,resp930,5.0
resp1894,resp5839,5.0
resp1894,resp738,5.0
resp1894,resp534,5.0
resp1894,resp4704,5.0
resp1895,resp1908,4.0
resp1897,resp3921,
resp1897,resp2116,
resp1898,resp5484,5.0
resp1898,resp4471,5.0
resp1909,resp2373,5.0
resp1909,resp2461,5.0
resp1913,resp3221,5.0
resp1913,resp2903,5.0
resp1913,resp1447,5.0
resp1914,resp5870,5.0
resp1914,resp1121,5.0
resp1914,resp4778,4.0
resp1914,resp3168,5.0
resp1919,resp2915,5.0
resp1919,resp5262,4.0
resp1919,resp4606,2.0
resp1919,resp1299,1.0
resp1924,resp5577,5.0
resp1924,resp2441,5.0
resp1924,resp1071,5.0
resp1924,resp1048,5.0
resp1925,resp19,5.0
resp1925,resp587,5.0
resp1925,resp3213,5.0
resp1925,resp3772,5.0
resp1927,resp2950,3.0
resp1927,resp1785,3.0
resp1927,resp312,5.0
resp1928,resp1687,5.0
resp1928,resp3,5.0
resp1928,resp5545,5.0
resp1928,resp6107,5.0
resp1931,resp1571,5.0
resp1931,resp2954,5.0
resp1932,resp3447,5.0
resp1932,resp1161,4.0
resp1932,resp4426,3.0
resp1932,resp1210,3.0
resp1933,resp1908,1.0
resp1933,resp4444,4.0
resp1934,resp232,5.0
resp1934,resp1282,5.0
resp1934,resp5936,5.0
resp1934,resp6216,5.0
resp1937,resp5539,4.0
resp1937,resp4214,5.0
resp1937,resp3804,1.0
resp1937,resp484,1.0
resp1939,resp5953,5.0
resp1939,resp4452,5.0
resp1944,resp5617,4.0
resp1944,resp4571,5.0
resp1944,resp2983,5.0
resp1944,resp2824,4.0
resp1947,resp3711,5.0
resp1947,resp5123,1.0
resp1947,resp6108,5.0
resp1956,resp3006,5.0
resp1956,resp5873,3.0
resp1956,resp5153,4.0
resp1956,resp3775,5.0
resp1959,resp865,4.0
resp1959,resp541,5.0
resp1960,resp3182,
resp1960,resp2221,
resp1961,resp3361,4.0
resp1961,resp595,5.0
resp1961,resp2824,4.0
resp1961,resp3365,4.0
resp1962,resp3448,5.0
resp1963,resp3255,5.0
resp1963,resp447,5.0
resp1963,resp1960,5.0
resp1963,resp2221,4.0
resp1964,resp2558,5.0
resp1964,resp4330,5.0
resp1964,resp828,5.0
resp1964,resp6212,5.0
resp1965,resp466,4.0
resp1965,resp2010,4.0
resp1967,resp35,5.0
resp1969,resp2950,5.0
resp1969,resp4574,5.0
resp1969,resp4592,5.0
resp1969,resp4369,5.0
resp1971,resp1057,5.0
resp1971,resp6007,5.0
resp1971,resp6033,5.0
resp1971,resp3015,5.0
resp1975,resp5788,5.0
resp1975,resp2824,5.0
resp1975,resp2834,5.0
resp1980,resp3614,5.0
resp1980,resp5068,5.0
resp1980,resp5620,4.0
resp1980,resp622,5.0
resp1982,resp2543,
resp1984,resp5810,5.0
resp1984,resp5822,5.0
resp1984,resp1652,5.0
resp1984,resp1164,5.0
resp1990,resp3895,5.0
