uid,function,hierarchy,region,operation,clocent
resp1354,logistics,E,country-wide,implementation,0.696582191
resp1355,logistics,TL,country-wide,implementation,0
resp1356,mng,E,country-wide,service,0.841169939
resp1357,network,TL,east,implementation,0.780463835
resp1358,network,MM,east,implementation,0.87480584
resp1359,network,TL,west,implementation,0.696026149
resp1360,it,E,central,service,0
resp1363,logistics,E,east,implementation,0
resp1364,hr,E,west,service,0
resp1368,control,E,west,business_mng,0
resp1371,network,MM,central,implementation,0.771357199
resp1372,logistics,E,west,implementation,0
resp1373,network,E,west,business_mng,0.807572757
resp1374,business,E,country-wide,business_mng,0.781881163
resp1375,logistics,E,country-wide,implementation,0
resp1376,network,TM,central,business_mng,0.844823575
resp1377,network,TL,central,implementation,0.718605577
resp1378,security,E,country-wide,corp_gov,0
resp1379,logistics,TL,country-wide,implementation,0
resp1380,network,E,east,business_mng,0.870901702
resp1382,logistics,E,central,implementation,0.770848761
resp1385,logistics,TL,country-wide,implementation,0
resp1386,network,E,central,business_mng,0.798485646
resp1387,network,MM,east,implementation,0.855672173
resp1388,it,E,country-wide,service,0
resp1389,logistics,E,country-wide,service,0.79453792
resp1391,it,E,country-wide,service,0
resp1394,business,E,country-wide,business_mng,0
resp1395,it,E,country-wide,service,0
resp1396,network,MM,west,implementation,0
resp1397,network,E,central,business_mng,0
resp1399,network,TL,west,implementation,0.002614365
resp1400,network,MM,east,implementation,0.712878632
resp1401,logistics,E,country-wide,implementation,0
resp1403,network,E,west,business_mng,0.753140906
resp1404,network,E,central,business_mng,0.640266847
resp1405,network,E,central,business_mng,0.752484017
resp1406,network,E,east,business_mng,0
resp1410,business,E,country-wide,business_mng,0
resp1411,logistics,MM,west,business_mng,0
resp1413,it,E,country-wide,service,0.768176195
resp1416,network,MM,east,implementation,0.749662116
resp1417,mng,E,central,service,0
resp1418,it,E,east,service,0.846870153
resp1419,business,E,country-wide,business_mng,0.9143302
resp1420,it,E,country-wide,service,0.868732409
resp1421,mng,E,west,implementation,0.727794849
resp1423,mng,E,country-wide,service,0.772047467
resp1425,network,TL,central,implementation,0.744383227
resp1427,network,TL,west,implementation,0
resp1428,logistics,E,west,implementation,0
resp1429,logistics,TL,country-wide,implementation,0.851494043
resp1434,hr,E,central,service,0
resp1435,it,E,country-wide,service,0.758402509
resp1436,logistics,E,east,implementation,0.725338646
resp1438,mng,E,country-wide,corp_gov,0.687242656
resp1439,mng,E,country-wide,corp_gov,0.769655509
resp1442,it,E,west,service,0
resp1443,network,TL,east,implementation,0
resp1444,hr,E,central,service,0.751463844
resp1446,leadership,E,country-wide,service,0.676102777
resp1447,business,E,country-wide,business_mng,0.68235074
resp1448,network,TL,central,implementation,0
resp1449,business,E,country-wide,business_mng,0.808209833
resp1450,mng,TL,west,service,0.673713034
resp1451,network,TL,west,implementation,0.79307716
resp1452,hr,E,east,implementation,0.707807411
resp1453,mng,E,country-wide,service,0.858405521
resp1455,network,MM,east,implementation,0
resp1456,mng,E,country-wide,corp_gov,0.738616313
resp1457,hr,E,east,implementation,0.658624024
resp1458,business,E,country-wide,business_mng,0.739563413
resp1460,business,E,country-wide,business_mng,0
resp1461,logistics,E,country-wide,implementation,0
resp1462,control,E,east,business_mng,0.784649458
resp1463,hr,E,country-wide,corp_gov,0.784874878
resp1464,business,E,country-wide,implementation,0.756186791
resp1466,logistics,E,country-wide,implementation,0
resp1472,business,TM,country-wide,business_mng,0.818664128
resp1473,network,MM,west,implementation,0.692375818
resp1474,network,TL,central,implementation,0.730057263
resp1475,network,TL,west,implementation,0.634042173
resp1476,network,MM,central,implementation,0.790911471
resp1477,logistics,TL,country-wide,service,0.788044413
resp1481,business,E,country-wide,business_mng,0.61801055
resp1482,network,TL,central,implementation,0
resp1483,it,E,country-wide,service,0.837229267
resp1485,business,E,country-wide,service,0
resp1486,logistics,TL,country-wide,service,0
resp1487,it,E,east,service,0.772811835
resp1488,network,TL,east,implementation,0.745168963
resp1490,business,E,country-wide,corp_gov,0
resp1492,hr,E,west,service,0.820960176
resp1494,logistics,E,country-wide,implementation,0.00522873
resp1496,it,E,country-wide,service,0.692169577
resp1499,network,TL,central,implementation,0
resp1500,business,E,country-wide,business_mng,0.729121601
resp1504,hr,E,country-wide,corp_gov,0.870115814
resp1506,control,E,central,business_mng,0.724218919
resp1507,hr,E,central,implementation,0
resp1508,logistics,E,country-wide,implementation,0
resp1509,logistics,E,country-wide,implementation,0.699693491
resp1510,security,E,country-wide,corp_gov,0
resp1511,it,E,west,service,0.78915202
resp1512,network,TL,central,implementation,0
resp1513,hr,E,central,service,0
resp1514,it,E,country-wide,service,0.777282556
resp1516,network,TL,central,implementation,0
resp1517,logistics,E,country-wide,implementation,0.738915968
resp1518,network,TL,east,implementation,0.786192414
resp1519,network,TL,east,implementation,0.79768585
resp1520,network,MM,west,implementation,0.822226231
resp1521,logistics,E,central,implementation,0.797942159
resp1522,business,E,country-wide,service,0.00522873
resp1523,it,E,country-wide,service,0
resp1524,it,E,west,service,0.792677581
resp1525,business,E,country-wide,service,0
resp1526,network,E,west,business_mng,0.749970802
resp1527,logistics,E,west,business_mng,0
resp1528,leadership,E,country-wide,service,0
resp1529,network,TL,east,implementation,0.757485697
resp1530,hr,E,west,implementation,0.859305506
resp1531,business,E,country-wide,business_mng,0.692263686
resp1532,network,E,west,business_mng,0.818827705
resp1534,hr,MM,east,service,0.841829901
resp1535,hr,E,central,service,0.747866848
resp1536,network,E,west,business_mng,0.654767798
resp1538,logistics,E,country-wide,implementation,0.789600762
resp1539,network,TL,central,implementation,0.00522873
resp1541,logistics,E,country-wide,implementation,0.778907666
resp1542,network,MM,east,implementation,0.937013366
resp1543,hr,E,central,service,0
resp1544,network,TL,west,implementation,0
resp1545,business,TM,country-wide,corp_gov,0
resp1548,logistics,E,east,implementation,0
resp1550,logistics,E,country-wide,implementation,0
resp1552,network,MM,east,implementation,0.745129862
resp1553,network,TL,east,implementation,0.88510323
resp1554,hr,E,central,implementation,0.768828982
resp1555,mng,E,country-wide,corp_gov,0.694278914
resp1556,hr,E,central,service,0
resp1558,network,MM,east,implementation,0.639940278
resp1559,mng,TL,country-wide,service,0
resp1560,mng,E,central,service,0.69164514
resp1561,network,TL,east,implementation,0.848915427
resp1563,network,TL,east,implementation,0.70469103
resp1564,network,TL,west,implementation,0
resp1565,network,TL,west,implementation,0
resp1567,network,MM,east,implementation,0.913616756
resp1568,network,TL,central,implementation,0.744025688
resp1569,security,E,country-wide,corp_gov,0.827842626
resp1570,business,E,country-wide,business_mng,0.873267904
resp1571,business,E,country-wide,business_mng,0.806420614
resp1573,business,E,country-wide,business_mng,0
resp1574,logistics,E,east,implementation,0.820299215
resp1578,logistics,E,central,implementation,0.709536099
resp1579,logistics,E,east,implementation,0
resp1580,network,E,west,business_mng,0.803889551
resp1582,hr,E,east,implementation,0
resp1583,business,E,country-wide,implementation,0.727921518
resp1584,logistics,E,country-wide,business_mng,0
resp1585,logistics,E,country-wide,implementation,0
resp1587,hr,E,central,service,0.75973822
resp1588,business,E,country-wide,business_mng,0.746657184
resp1589,business,E,central,implementation,0.002614365
resp1590,network,TL,central,implementation,0.711337043
resp1591,mng,E,country-wide,corp_gov,0.719646669
resp1592,it,E,west,service,0
resp1593,it,E,country-wide,service,0
resp1594,network,TL,east,implementation,0
resp1595,logistics,MM,west,implementation,0
resp1597,logistics,E,west,implementation,0
resp1598,network,TL,west,implementation,0.70346373
resp1599,logistics,E,country-wide,implementation,0
resp1600,control,E,west,business_mng,0
resp1601,business,E,country-wide,implementation,0
resp1603,network,TL,west,implementation,0.773212822
resp1604,mng,E,country-wide,service,0.879499508
resp1605,hr,E,central,service,0.707045681
resp1606,business,TM,country-wide,business_mng,0.831875759
resp1607,business,E,country-wide,business_mng,0.809247227
resp1608,logistics,E,west,business_mng,0
resp1609,network,MM,east,implementation,0
resp1612,logistics,E,east,implementation,0.774670972
resp1613,mng,E,central,service,0.826590279
resp1614,mng,E,country-wide,corp_gov,0
resp1615,network,TL,central,implementation,0
resp1616,it,E,country-wide,service,0.759148875
resp1617,hr,E,central,service,0.681279368
resp1620,security,E,country-wide,service,0.744216464
resp1621,hr,E,central,service,0.707137039
resp1623,business,E,country-wide,business_mng,0
resp1625,logistics,E,central,implementation,0.707662194
resp1626,network,E,west,business_mng,0.654898595
resp1628,business,E,country-wide,business_mng,0.839673795
resp1629,network,TL,west,implementation,0
resp1630,logistics,E,country-wide,implementation,0.69550957
resp1631,business,E,east,implementation,0
resp1632,it,E,country-wide,service,0
resp1634,network,TL,central,implementation,0.689295579
resp1636,mng,E,country-wide,service,0.749746684
resp1637,mng,E,west,service,0.74585108
resp1638,hr,E,country-wide,corp_gov,0.898136845
resp1639,network,E,country-wide,business_mng,0.742968401
resp1640,it,E,country-wide,service,0.729510985
resp1641,leadership,E,country-wide,corp_gov,0.846743728
resp1642,hr,TL,country-wide,service,0.69810344
resp1644,network,TL,central,implementation,0.783149961
resp1645,business,E,country-wide,implementation,0.694008214
resp1646,mng,E,west,service,0
resp1649,hr,E,east,implementation,0
resp1650,network,TL,central,implementation,0
resp1651,mng,E,country-wide,service,0.7359964
resp1652,security,E,east,service,0.810007008
resp1653,business,E,country-wide,business_mng,0.720696408
resp1654,business,E,central,implementation,0
resp1655,network,MM,east,implementation,0
resp1656,network,TL,east,implementation,0
resp1657,logistics,E,west,implementation,0.718721616
resp1658,security,E,west,service,0.007843096
resp1659,network,MM,east,implementation,0.771464087
resp1660,security,E,country-wide,corp_gov,0
resp1661,network,TL,central,implementation,0.691819864
resp1662,business,E,east,implementation,0.833463527
resp1663,business,E,country-wide,business_mng,0.837956846
resp1664,business,E,country-wide,implementation,0
resp1665,hr,E,central,implementation,0
resp1667,logistics,E,country-wide,implementation,0.822319245
resp1668,logistics,E,country-wide,implementation,0
resp1669,logistics,E,country-wide,implementation,0.809926964
resp1670,network,TL,central,implementation,0
resp1674,network,MM,east,implementation,0.815893277
resp1675,hr,E,country-wide,corp_gov,0.786720667
resp1676,mng,E,country-wide,corp_gov,0.734901545
resp1677,business,E,central,implementation,0
resp1678,security,E,country-wide,corp_gov,0.762246539
resp1680,control,E,east,business_mng,0.705674451
resp1681,network,E,central,business_mng,0.762246539
resp1684,logistics,E,country-wide,implementation,0.712909312
resp1685,control,E,country-wide,corp_gov,0.792731977
resp1686,mng,E,country-wide,service,0.780426825
resp1687,it,TL,country-wide,service,0.78517564
resp1688,business,E,east,implementation,0
resp1689,network,TL,west,implementation,0
resp1690,network,MM,central,implementation,0
resp1691,network,E,west,business_mng,0.734775733
resp1692,mng,E,country-wide,corp_gov,0
resp1693,network,MM,east,implementation,0.877803996
resp1694,hr,E,east,implementation,0.695170137
resp1697,network,TL,east,implementation,0.694459094
resp1700,business,E,country-wide,business_mng,0
resp1701,mng,TM,country-wide,corp_gov,0.909864111
resp1702,leadership,E,country-wide,corp_gov,0
resp1703,network,MM,east,implementation,0
resp1704,it,E,country-wide,service,0.870670411
resp1706,business,E,country-wide,implementation,0
resp1709,network,E,central,business_mng,0.671918012
resp1710,hr,E,central,implementation,0
resp1711,security,E,country-wide,service,0.762167437
resp1713,it,E,west,service,0
resp1714,network,TL,central,implementation,0
resp1716,logistics,E,country-wide,implementation,0.769654983
resp1717,business,E,country-wide,business_mng,0.658846938
resp1718,network,TL,central,implementation,0.753506257
resp1719,control,E,west,business_mng,0.777098314
resp1720,hr,E,east,service,0.737884845
resp1721,mng,E,country-wide,corp_gov,0
resp1723,logistics,MM,east,business_mng,0.914789432
resp1724,hr,E,east,implementation,0.845564419
resp1725,network,TL,central,implementation,0.742766407
resp1729,logistics,E,country-wide,business_mng,0.859777752
resp1730,mng,E,country-wide,corp_gov,0.721356796
resp1731,network,TL,east,implementation,0.789002993
resp1733,mng,E,central,service,0
resp1734,mng,E,country-wide,corp_gov,0
resp1735,network,TL,central,implementation,0
resp1736,mng,E,country-wide,service,0.706465191
resp1739,network,TL,east,implementation,0.849640379
resp1740,network,MM,central,implementation,0.752311342
resp1741,business,E,country-wide,business_mng,0.658896585
resp1742,network,TL,central,implementation,0
resp1743,control,E,east,business_mng,0.790057443
resp1745,hr,E,country-wide,service,0.710230149
resp1752,security,E,country-wide,corp_gov,0
resp1753,logistics,E,country-wide,implementation,0
resp1755,business,E,country-wide,business_mng,0
resp1756,business,E,east,implementation,0
resp1757,business,E,country-wide,service,0.793691562
resp1758,network,TL,west,implementation,0
resp1759,logistics,E,country-wide,implementation,0.814393473
resp1761,it,E,country-wide,service,0.727826406
resp1762,network,MM,central,implementation,0.649629922
resp1763,it,E,country-wide,service,0.730844524
resp1764,network,MM,central,implementation,0.7155656
resp1766,logistics,E,country-wide,implementation,0
resp1768,mng,E,central,implementation,0.733488652
resp1769,logistics,E,country-wide,implementation,0
resp1770,network,MM,west,implementation,0.683631322
resp1771,logistics,E,country-wide,implementation,0.769727265
resp1772,logistics,TL,country-wide,business_mng,0.917246479
resp1773,business,E,country-wide,service,0.640760548
resp1774,it,E,country-wide,service,0
resp1776,mng,E,country-wide,corp_gov,0.794037581
resp1777,logistics,E,country-wide,implementation,0
resp1778,network,TL,central,implementation,0.741120889
resp1779,network,E,east,business_mng,0.77961152
resp1780,network,TL,east,implementation,0.772664242
resp1781,control,E,country-wide,corp_gov,0.756754644
resp1782,control,E,central,business_mng,0.796004071
resp1783,network,TL,central,implementation,0.78910419
resp1784,logistics,E,country-wide,implementation,0
resp1785,business,E,country-wide,business_mng,0.671147716
resp1786,network,E,central,business_mng,0.724641343
resp1788,network,TL,west,implementation,0.806320979
resp1789,logistics,E,west,implementation,0.011645809
resp1790,network,TL,west,implementation,0.803141197
resp1791,hr,E,east,service,0
resp1793,business,E,country-wide,business_mng,0
resp1795,control,E,country-wide,corp_gov,0
resp1796,network,MM,east,implementation,0.84586985
resp1797,mng,E,east,implementation,0.822876151
resp1798,logistics,E,west,implementation,0.72107121
resp1799,logistics,E,east,implementation,0
resp1800,logistics,TL,east,implementation,0
resp1801,network,TL,central,implementation,0
resp1802,mng,E,country-wide,service,0.746317239
resp1804,it,TL,west,service,0.772629705
resp1805,logistics,E,west,business_mng,0
resp1806,business,E,central,implementation,0
resp1808,network,TL,west,implementation,0.718172495
resp1810,mng,E,east,implementation,0.833604938
resp1811,network,MM,central,implementation,0.673721091
resp1813,logistics,E,east,business_mng,0
resp1814,control,TL,east,business_mng,0.866116022
resp1816,network,TL,central,implementation,0.845544453
resp1817,network,TL,central,implementation,0
resp1818,network,TL,east,implementation,0.80036111
resp1819,business,E,country-wide,business_mng,0
resp1820,network,TL,west,implementation,0
resp1821,leadership,E,country-wide,service,0.753833609
resp1824,network,TL,west,implementation,0
resp1825,network,E,central,business_mng,0
resp1826,network,TL,east,implementation,0
resp1827,mng,E,country-wide,corp_gov,0
resp1828,business,E,country-wide,implementation,0.721491281
resp1829,business,E,country-wide,business_mng,0.833610243
resp1830,business,E,country-wide,business_mng,0.74384498
resp1831,mng,E,country-wide,service,0.675629042
resp1832,hr,E,country-wide,corp_gov,0.775334019
resp1833,it,E,country-wide,service,0
resp1835,logistics,E,country-wide,implementation,0
resp1836,logistics,E,country-wide,implementation,0
resp1837,mng,E,east,service,0
resp1838,business,E,country-wide,implementation,0
resp1839,logistics,E,country-wide,implementation,0
resp1841,business,MM,country-wide,implementation,0.716313224
resp1842,hr,E,central,service,0.79154531
resp1843,business,E,central,implementation,0
resp1844,business,E,country-wide,service,0.640787306
resp1845,logistics,E,central,implementation,0.819644939
resp1846,network,TL,east,implementation,0.769654983
resp1848,network,MM,west,implementation,0.848233471
resp1849,network,TL,central,implementation,0.806084357
resp1850,network,TL,central,implementation,0.705964678
resp1851,network,E,west,business_mng,0.919613567
resp1852,business,E,country-wide,business_mng,0.771212179
resp1853,mng,E,country-wide,service,0
resp1855,business,E,country-wide,business_mng,0.618457633
resp1858,network,TL,west,implementation,0
resp1859,leadership,E,country-wide,service,0
resp1860,control,E,country-wide,corp_gov,0.767141957
resp1861,hr,E,country-wide,corp_gov,0.778463781
resp1864,it,E,country-wide,service,0.725862005
resp1865,business,E,country-wide,business_mng,0.840750466
resp1866,network,MM,east,implementation,0.805746747
resp1871,business,E,country-wide,business_mng,0.692263686
resp1872,network,TL,east,implementation,0.67178033
resp1874,logistics,E,country-wide,implementation,0
resp1878,network,TL,east,implementation,0
resp1879,network,MM,east,implementation,0
resp1880,network,TL,east,implementation,0.737752006
resp1881,logistics,E,country-wide,implementation,0
resp1882,network,E,east,business_mng,0.857956235
resp1883,mng,E,country-wide,service,0
resp1885,network,TL,east,implementation,0
resp1886,hr,E,west,service,0
resp1888,business,E,country-wide,implementation,0.596325344
resp1889,business,E,country-wide,business_mng,0.698317619
resp1890,logistics,E,central,implementation,0.725115651
resp1891,mng,E,country-wide,service,0
resp1892,leadership,E,country-wide,corp_gov,0.87480584
resp1893,logistics,E,central,implementation,0.71531817
resp1894,it,E,central,service,0.745425922
resp1895,it,E,country-wide,service,0.773504711
resp1896,mng,E,country-wide,corp_gov,0
resp1897,control,E,west,business_mng,0.832255881
resp1898,hr,E,east,service,0.76713365
resp1904,network,E,central,business_mng,0.753037111
resp1905,network,TL,east,implementation,0
resp1906,business,E,country-wide,implementation,0
resp1908,it,TL,country-wide,service,0
resp1909,hr,E,central,service,0.787249632
resp1911,network,TL,central,implementation,0
resp1912,mng,E,central,service,0
resp1913,business,E,country-wide,business_mng,0.637875003
resp1914,it,E,country-wide,service,0.777781576
resp1915,logistics,E,country-wide,implementation,0
resp1918,network,TL,west,implementation,0
resp1919,business,E,central,implementation,0.789979402
resp1922,logistics,E,east,implementation,0
resp1923,hr,E,east,implementation,0
resp1924,network,TL,east,implementation,0.845464917
resp1925,network,TL,east,implementation,0.836033653
resp1927,business,E,country-wide,business_mng,0.671450122
resp1928,it,E,country-wide,service,0.809367098
resp1929,network,MM,west,implementation,0
resp1931,business,E,country-wide,business_mng,0.792540339
resp1932,logistics,E,country-wide,business_mng,0.868042355
resp1933,it,E,country-wide,service,0.762849582
resp1934,business,E,country-wide,business_mng,0.720754962
resp1937,business,E,country-wide,business_mng,0.739082548
resp1938,network,TL,central,implementation,0
resp1939,security,E,west,service,0.93899936
resp1940,network,MM,central,implementation,0
resp1942,it,E,country-wide,service,0
resp1943,logistics,E,country-wide,implementation,0
resp1944,network,MM,east,implementation,0.889473755
resp1947,mng,E,country-wide,service,0.760196254
resp1949,leadership,E,country-wide,service,0
resp1950,logistics,E,central,implementation,0
resp1955,network,TL,central,implementation,0
resp1956,mng,E,country-wide,service,0.795347493
resp1958,mng,E,country-wide,service,0
resp1960,logistics,TL,west,implementation,0.804915877
resp1961,network,MM,west,implementation,0.735403574
resp1962,hr,E,central,service,0.777350606
resp1963,logistics,E,west,implementation,0.72420862
resp1964,logistics,E,east,implementation,0.825840689
resp1965,network,TL,central,implementation,0.76320476
resp1967,network,TL,central,implementation,0.705964678
resp1968,network,TL,central,implementation,0
resp1969,business,E,country-wide,business_mng,0.742329129
resp1971,network,TL,west,implementation,0.697665318
resp1973,business,E,country-wide,business_mng,0
resp1975,network,E,country-wide,business_mng,0.770197426
resp1979,network,TL,west,implementation,0
resp1980,business,E,country-wide,implementation,0.593832973
resp1982,control,E,central,business_mng,0.784203388
resp1983,hr,E,west,implementation,0
resp1984,security,E,east,service,0.805074006
resp1987,it,E,country-wide,service,0
resp1991,network,MM,west,implementation,0
resp1992,logistics,E,country-wide,implementation,0
resp1993,network,TL,central,implementation,0.730410749
resp1995,network,TL,west,implementation,0.790934226
resp1996,business,E,country-wide,business_mng,0.778796647
resp1997,business,E,country-wide,business_mng,0.883957713
resp1998,business,E,country-wide,business_mng,0
resp2001,it,E,west,service,0.839072063
resp2002,business,E,country-wide,implementation,0
resp2003,mng,TM,country-wide,corp_gov,0.697774214
resp2004,security,E,east,service,0
resp2005,network,TL,central,implementation,0.734277878
resp2006,leadership,E,country-wide,service,0
resp2008,business,E,country-wide,implementation,0
resp2010,network,TL,central,implementation,0.690601273
resp2012,control,E,country-wide,corp_gov,0.812335191
resp2013,logistics,E,east,implementation,0.652034211
resp2014,network,TL,central,implementation,0
resp2015,security,E,country-wide,corp_gov,0
resp2017,security,TL,country-wide,corp_gov,0
resp2018,hr,E,central,implementation,0.682542219
resp2021,it,E,country-wide,service,0.780948634
resp2022,network,TL,central,implementation,0.704673365
resp2023,business,E,country-wide,implementation,0.638083521
resp2024,mng,E,west,service,0
resp2025,hr,E,west,implementation,0.852948478
resp2026,business,E,country-wide,implementation,0
resp2027,business,E,country-wide,business_mng,0.781581644
resp2028,network,TL,west,implementation,0.762423806
resp2029,network,TL,central,implementation,0.707506976
resp2031,hr,E,west,implementation,0.760450896
resp2032,mng,E,country-wide,service,0
resp2034,leadership,E,country-wide,service,0.826215314
resp2036,business,TM,country-wide,corp_gov,0
resp2039,network,TL,east,business_mng,0.835777894
resp2041,network,MM,west,implementation,0
resp2043,hr,E,country-wide,corp_gov,0.776766897
resp2044,network,MM,central,implementation,0
resp2045,network,TL,central,implementation,0.692049993
resp2046,network,TL,east,implementation,0
resp2047,network,MM,central,implementation,0.640809602
resp2048,it,E,country-wide,service,0.819810544
resp2049,business,TM,country-wide,business_mng,0
resp2050,mng,E,country-wide,service,0.002614365
resp2055,mng,TM,country-wide,corp_gov,0.761963084
resp2056,network,MM,east,implementation,0.857731768
resp2059,it,E,west,service,0
resp2060,business,E,country-wide,business_mng,0
resp2061,logistics,E,country-wide,implementation,0.002614365
resp2065,network,TL,central,implementation,0
resp2066,business,TL,country-wide,business_mng,0.811049024
resp2067,logistics,E,east,implementation,0.709167612
resp2068,it,E,west,service,0.92111215
resp2069,network,E,east,business_mng,0.785928553
resp2070,mng,E,central,service,0
resp2071,hr,E,west,implementation,0
resp2072,it,TL,country-wide,service,0.810968774
resp2073,business,E,country-wide,business_mng,0.778648671
resp2074,network,TL,central,implementation,0.821824518
resp2076,hr,E,central,implementation,0
resp2077,network,TL,west,implementation,0
resp2078,it,E,country-wide,service,0
resp2079,business,E,country-wide,implementation,0.655787641
resp2080,logistics,E,west,implementation,0
resp2082,network,TL,central,implementation,0
resp2084,mng,E,west,implementation,0.005882322
resp2085,network,MM,central,implementation,0.00522873
resp2086,hr,E,east,implementation,0
resp2088,business,E,country-wide,business_mng,0.754934144
resp2089,mng,TL,country-wide,service,0.795982881
resp2090,mng,E,country-wide,corp_gov,0.778759648
resp2091,business,E,country-wide,business_mng,0.79361471
resp2092,it,E,country-wide,service,0.736194729
resp2094,mng,E,country-wide,service,0.66006732
resp2095,business,E,country-wide,business_mng,0.814150781
resp2096,network,E,west,business_mng,0
resp2098,hr,E,country-wide,service,0.787864474
resp2099,it,E,west,service,0
resp2100,business,E,country-wide,business_mng,0.74667549
resp2102,mng,E,country-wide,corp_gov,0
resp2103,network,TL,west,implementation,0
resp2104,mng,E,country-wide,service,0.659961021
resp2106,control,E,west,business_mng,0.774016046
resp2107,logistics,E,country-wide,implementation,0
resp2108,hr,E,west,service,0
resp2109,network,TL,west,implementation,0
resp2110,network,TL,west,implementation,0
resp2115,logistics,E,west,implementation,0.738682882
resp2116,control,E,west,business_mng,0
resp2117,business,E,country-wide,business_mng,0.751311386
resp2119,mng,E,central,service,0.847181344
resp2120,it,E,east,service,0.82393123
resp2121,logistics,E,country-wide,implementation,0.776215164
resp2124,business,E,country-wide,implementation,0.85919241
resp2125,business,E,country-wide,implementation,0.72307507
resp2126,logistics,E,country-wide,implementation,0.742171041
resp2127,logistics,E,west,implementation,0
resp2128,mng,TL,country-wide,corp_gov,0.709676675
resp2129,logistics,E,country-wide,implementation,0.793384242
resp2131,network,MM,west,implementation,0.821206945
resp2133,control,E,country-wide,corp_gov,0.800865342
resp2134,business,E,country-wide,implementation,0.795318082
resp2135,business,E,country-wide,service,0.644841348
resp2137,network,TL,west,implementation,0
resp2139,logistics,E,country-wide,implementation,0
resp2140,hr,E,central,service,0.760721868
resp2141,mng,E,west,service,0.749833577
resp2143,network,E,central,business_mng,0.795193161
resp2144,logistics,E,country-wide,implementation,0.830796513
resp2145,logistics,TL,west,implementation,0
resp2146,logistics,E,country-wide,business_mng,0
resp2147,business,E,country-wide,business_mng,0.756313168
resp2149,hr,E,west,service,0.785928553
resp2150,logistics,E,country-wide,service,0
resp2152,network,E,east,business_mng,0.849112242
resp2153,network,E,east,business_mng,0.806350808
resp2154,leadership,E,country-wide,service,0.686350619
resp2157,mng,E,country-wide,corp_gov,0
resp2158,hr,E,east,service,0
resp2159,network,MM,central,implementation,0.739030778
resp2160,network,E,west,business_mng,0.713786711
resp2161,network,E,central,business_mng,0.817561687
resp2163,network,E,west,business_mng,0.823724212
resp2164,network,TL,central,implementation,0.768289783
resp2166,network,TL,west,implementation,0
resp2169,logistics,E,country-wide,implementation,0
resp2170,logistics,E,country-wide,business_mng,0.856400459
resp2173,network,TL,central,implementation,0.75299522
resp2174,business,E,country-wide,business_mng,0
resp2176,it,E,country-wide,service,0.833822261
resp2178,logistics,E,country-wide,implementation,0.843139757
resp2179,network,TL,east,implementation,0
resp2180,business,E,country-wide,implementation,0
resp2181,mng,E,country-wide,service,0.789752931
resp2182,business,E,country-wide,business_mng,0.752035226
resp2183,business,E,country-wide,implementation,0
resp2184,network,TL,west,implementation,0
resp2187,network,TL,west,implementation,0
resp2190,mng,E,east,service,0
resp2191,it,E,country-wide,service,0.791277845
resp2193,business,E,central,implementation,0
resp2194,network,TL,central,implementation,0.833295929
resp2195,network,MM,east,implementation,0.805825967
resp2196,control,E,central,business_mng,0.777518768
resp2197,logistics,E,west,implementation,0.010675325
resp2199,logistics,E,east,implementation,0
resp2200,business,E,country-wide,business_mng,0.716120104
resp2202,business,TL,country-wide,business_mng,0
resp2203,logistics,E,central,implementation,0.704515439
resp2204,logistics,E,country-wide,implementation,0.671395119
resp2207,logistics,E,country-wide,implementation,0.851361371
resp2209,business,E,country-wide,implementation,0.693465896
resp2213,network,MM,east,implementation,0.815857075
resp2216,logistics,E,west,implementation,0
resp2218,control,E,east,business_mng,0.765450004
resp2219,logistics,E,country-wide,implementation,0.862398719
resp2220,network,TL,east,implementation,0.795574486
resp2221,logistics,MM,west,implementation,0.783561751
resp2222,network,E,country-wide,business_mng,0.77259329
resp2223,logistics,E,west,implementation,0
resp2225,network,MM,central,implementation,0
resp2228,network,TL,west,implementation,0
resp2232,it,E,country-wide,service,0
resp2233,logistics,E,country-wide,implementation,0
resp2234,mng,E,west,implementation,0.853451598
resp2235,network,E,central,business_mng,0.737420119
resp2236,business,TL,country-wide,business_mng,0.766882425
resp2237,business,E,country-wide,business_mng,0.864061559
resp2238,logistics,E,east,implementation,0.769655509
resp2239,network,TL,east,implementation,0.783962878
resp2240,control,E,west,business_mng,0
resp2242,business,E,country-wide,business_mng,0.742934728
resp2243,network,TL,central,implementation,0.733788971
resp2244,network,TL,west,implementation,0.782747952
resp2246,logistics,E,country-wide,implementation,0
resp2248,logistics,E,central,implementation,0.756920782
resp2249,leadership,TM,country-wide,corp_gov,0
resp2250,network,MM,east,implementation,0
resp2251,logistics,E,country-wide,implementation,0
resp2252,mng,E,country-wide,corp_gov,0
resp2253,it,E,country-wide,service,0.810848428
resp2255,logistics,E,country-wide,implementation,0
resp2256,mng,E,country-wide,corp_gov,0.63070842
resp2258,logistics,E,central,implementation,0
resp2259,it,E,central,service,0
resp2260,network,E,central,business_mng,0.748634707
resp2263,hr,E,west,service,0
resp2264,security,TL,country-wide,corp_gov,0.861427917
resp2265,network,TL,west,implementation,0
resp2266,logistics,E,country-wide,implementation,0.707120999
resp2267,business,E,country-wide,implementation,0.669600293
resp2268,network,TL,east,implementation,0.716028132
resp2269,mng,E,east,service,0.707715734
resp2271,network,TL,central,implementation,0
resp2272,logistics,E,west,implementation,0
